city,address,area,floor,name,price,province,rooms,toward,unit,year,origin_url
简阳,射洪坝街,98㎡,高层（共31层）,依云谷,129.8万,四川,3室2厅,南北向,13245元/㎡,,https://jianyang.esf.fang.com/chushou/16_201077.htm
简阳,射洪坝街,98㎡,高层（共31层）,依云谷,129.8万,四川,3室2厅,南北向,13245元/㎡,,https://jianyang.esf.fang.com/chushou/16_201077.htm
简阳,简城街,101㎡,中层（共26层）,悦隽景城,86万,四川,3室2厅,南北向,8515元/㎡,,https://jianyang.esf.fang.com/chushou/16_201078.htm
简阳,简城街,101㎡,中层（共26层）,悦隽景城,86万,四川,3室2厅,南北向,8515元/㎡,,https://jianyang.esf.fang.com/chushou/16_201078.htm
简阳,简城街,104㎡,中层（共7层）,丰荷苑,96万,四川,3室2厅,南北向,9231元/㎡,,https://jianyang.esf.fang.com/chushou/16_201079.htm
简阳,简城街,104㎡,中层（共7层）,丰荷苑,96万,四川,3室2厅,南北向,9231元/㎡,,https://jianyang.esf.fang.com/chushou/16_201079.htm
简阳,简城街,140㎡,低层（共19层）,金色海岸,130万,四川,3室2厅,南北向,9286元/㎡,,https://jianyang.esf.fang.com/chushou/16_201081.htm
简阳,简城街,140㎡,低层（共19层）,金色海岸,130万,四川,3室2厅,南北向,9286元/㎡,,https://jianyang.esf.fang.com/chushou/16_201081.htm
简阳,石盘镇,114㎡,高层（共18层）,滨湖城,96万,四川,3室2厅,南向,8421元/㎡,,https://jianyang.esf.fang.com/chushou/16_201082.htm
简阳,石盘镇,114㎡,高层（共18层）,滨湖城,96万,四川,3室2厅,南向,8421元/㎡,,https://jianyang.esf.fang.com/chushou/16_201082.htm
简阳,简城街,35㎡,中层（共12层）,峨眉山,43万,四川,1室1厅,南向,12286元/㎡,,https://jianyang.esf.fang.com/chushou/16_201075.htm
简阳,简城街,35㎡,中层（共12层）,峨眉山,43万,四川,1室1厅,南向,12286元/㎡,,https://jianyang.esf.fang.com/chushou/16_201075.htm
简阳,简城街,86.6㎡,高层（共33层）,上城,65万,四川,2室2厅,东西向,7506元/㎡,,https://jianyang.esf.fang.com/chushou/16_201084.htm
简阳,简城街,86.6㎡,高层（共33层）,上城,65万,四川,2室2厅,东西向,7506元/㎡,,https://jianyang.esf.fang.com/chushou/16_201084.htm
